Source;Target;Label;Weight
93;59;12;7
94;59;2;2
99;59;1;5
100;59;12;7
103;59;1;5
104;59;2;2
111;59;2;2
115;59;1;5
116;59;L;0.5
128;59;2;2
1;60;C2;7
6;60;1;5
12;60;1;5
34;60;2;2
35;60;1;5
47;60;1;5
52;60;1;5
53;60;1;10
57;60;2;2
61;60;C;5
74;60;2;2
78;60;1;5
79;60;2;2
81;60;2;4
91;60;1;5
92;60;L;0.5
96;60;2;2
101;60;1L;5.5
103;60;1;5
105;60;1;5
110;60;2;2
119;60;1;5
121;60;2;2
123;60;C;5
127;60;3;1
1;61;C;5
23;61;3;1
28;61;2;2
32;61;L;0.5
33;61;3;1
42;61;3;1
46;61;1;5
48;61;1;5
50;61;1;5
55;61;3;1
60;61;C;5
67;61;2;2
73;61;2;2
83;61;1;5
97;61;L;0.5
98;61;1;5
104;61;1;5
113;61;2;2
119;61;2;2
123;61;C;5
6;62;1;5
11;62;12;7
28;62;2;2
36;62;C;5
41;62;C1;10
42;62;12;7
46;62;1;5
48;62;L;0.5
50;62;L;0.5
77;62;1;5
79;62;2;2
82;62;C;5
91;62;1L;5.5
96;62;1;5
100;62;2;2
106;62;C;5
116;62;C1;10
117;62;C;5
124;62;L;0.5
128;62;L;0.5
1;63;L;0.5
9;63;L;0.5
11;63;L;0.5
17;63;3;1
19;63;12;7
23;63;L;0.5
26;63;2;2
28;63;L;0.5
32;63;L;0.5
35;63;L;0.5
36;63;L;0.5
39;63;1;5
51;63;2;2
55;63;3;1
65;63;3;1
68;63;CL;5.5
71;63;L;0.5
73;63;2;4
74;63;2;2
78;63;1;5
81;63;3;1
87;63;L;0.5
89;63;3;1
91;63;1;5
93;63;2;2
101;63;1L;5.5
104;63;1;5
105;63;C2;9
111;63;3L;2
113;63;1L;5.5
118;63;2;2
121;63;2;2
125;63;1;5
127;63;L;0.5
128;63;2;4
9;64;1;5
72;64;1;5
93;64;1;5
106;64;2;2
117;64;L;0.5
127;64;1;5
4;65;2;2
7;65;L;0.5
8;65;C;5
16;65;CL;5.5
20;65;C2;7
26;65;3;1
28;65;L;0.5
29;65;C1;10
30;65;3;1
31;65;L;1
37;65;2;2
42;65;23;3
46;65;C;5
47;65;L;0.5
48;65;2;2
49;65;CL;5.5
52;65;C3;6
